region,unit_price,total_price
房山,23000,425 
通州,62000,1762
大兴,25000,1135
朝阳,95000,875
房山,40000,557
顺义,36000,467
朝阳,120000,7219
门头沟,65000,780
大兴,38000,5075
朝阳,48000,1200
丰台,52000,3440
房山,33000,445
房山,37500,355
通州,42000,425
通州,24500,208
通州,28000,431
丰台,90000,3540
朝阳,145000,1585
顺义,27000,77
昌平,45000,1290
大兴,60000,950
顺义,33000,450
顺义,33000,1075
昌平,61183,810
顺义,47000,563
通州,43000,525
顺义,45000,1100
通州,68000,587
朝阳,120000,2152
丰台,87000,1206
通州,64000,722
昌平,35000,2100
通州,68000,695
密云,30000,1459
门头沟,43000,640
丰台,75000,3200
房山,29000,360
朝阳,150000,2640
大兴,340,
大兴,28000,750
石景山,52024,1000
顺义,41000,1550
门头沟,48000,580
房山,40000,713
丰台,80000,2300
顺义,70000,2300
密云,25607,220
石景山,54625,1415
顺义,42000,975
昌平,55000,640
